Temp(K),Time (s),Pressure (mbar)
29.314117217848224,5.168783,0.361
29.314198383185133,10.80999,0.361
29.31363023136865,16.372026,0.361
29.314238966008457,21.926144,0.361
29.31379255910332,27.4783,0.361
29.31338674174664,33.035393,0.361
29.313954887990548,38.595363,0.361
29.31379255910332,44.153354,0.361
29.313954887990548,50.219268,0.361
29.313954887990548,56.273125,0.361
29.31350848626719,61.830734,0.361
29.31391430566431,67.448297,0.361
29.313833141237197,73.445373,0.361
29.31399547034525,79.004583,0.361
29.314198383185133,85.05983,0.361
29.31363023136865,90.620791,0.361
29.31399547034525,96.175364,0.361
29.314117217848224,101.732691,0.361
29.31391430566431,107.289321,0.36
29.31358964960328,113.357199,0.361
29.313549067879784,119.409007,0.361
29.31318383553737,124.966375,0.361
29.313346160353863,130.609011,0.36
29.31322441663164,136.584579,0.361
29.31363023136865,142.644299,0.361
29.312818608590284,148.201124,0.361
29.311966433418128,154.259267,0.36
29.30985641221301,159.81728,0.361
29.30766542743244,165.371508,0.361
29.30486611908221,170.929991,0.361
29.30020131148682,176.991472,0.362
29.295010215849004,183.056474,0.361
29.289536416684115,189.111212,0.361
29.282766806536955,194.77792,0.361
29.275472303192345,200.729231,0.361
29.26664074083855,206.796375,0.36
29.258379210930347,212.850716,0.36
29.249068064782563,218.404012,0.36
29.23822299723184,223.959582,0.36
29.22657392267559,229.516419,0.36
29.21379864402868,235.074969,0.36
29.19981813167128,240.62912,0.36
29.185320741698668,246.183052,0.36
29.17006532139442,251.737399,0.36
29.151997087717856,257.431981,0.358
29.13357957114988,263.35826,0.359
29.11565894412301,268.91378,0.359
29.096021708225884,274.470398,0.359
29.075114089939277,280.024637,0.359
29.054666021745184,285.581867,0.359
29.03074459557354,291.143744,0.359
29.006325538388364,297.200057,0.358
28.981130129692325,302.756271,0.358
28.955720723063205,308.312092,0.358
28.928979402215,313.868174,0.358
28.898516461071484,319.590883,0.358
28.87016387529706,325.48536,0.358
28.841048138145823,331.039862,0.357
28.807991680224102,336.604016,0.357
28.776369606906503,342.658365,0.357
28.744828321804253,348.212838,0.356
28.71142740832639,353.768744,0.356
28.676649090452266,359.326906,0.355
28.641999636293303,364.881165,0.355
28.60554689567415,370.437906,0.355
28.568479947799737,375.989529,0.354
28.52742226101563,381.743879,0.354
28.488945073715264,387.6106,0.353
28.449863447076496,393.165364,0.353
28.41014139491236,398.723873,0.352
28.369743235930613,404.276363,0.352
28.32843875415576,409.831686,0.352
28.285766027027638,415.391507,0.352
28.24235385373959,420.948421,0.352
28.193982256275618,426.504731,0.35
28.14934406288373,432.563825,0.35
28.103592598697475,438.117867,0.35
28.053113173093017,443.891915,0.35
28.006162284552502,449.736304,0.349
27.95865187753667,455.292428,0.35
27.90679509095937,460.851476,0.348
27.85803170482145,466.904326,0.348
27.808339419485463,472.463897,0.348
27.75821904788331,478.02168,0.347
27.707218154559506,483.578098,0.347
27.65560801927974,489.135769,0.346
27.60320410729379,494.687383,0.346
27.55038927057966,500.243441,0.344
27.49212575499872,506.049721,0.344
27.43329445681335,511.871114,0.344
27.37936498077424,517.924147,0.343
27.32447727078752,523.480431,0.343
27.26960729278564,529.032566,0.343
27.21312008658224,534.592876,0.343
27.156585150615143,540.146432,0.342
27.09944866493598,545.70186,0.341
27.041531244049807,551.258326,0.341
26.982876199929475,556.817584,0.34
26.924223871382424,562.369694,0.339
26.859864674542376,568.199549,0.339
26.800613788587576,573.985109,0.337
26.741115897477385,579.542816,0.337
26.68155521191273,585.101924,0.337
26.621136138640857,590.657397,0.335
26.56029970170892,596.212895,0.335
26.492999002400683,601.771068,0.335
26.430674369103663,607.830833,0.335
