Frequency(GHz),S21^2 (dBm)
2219500000.0,-43.44683877457756
2219600000.0,-43.381708404662696
2219700000.0,-43.29123228980944
2219800000.0,-43.208299880577
2219900000.0,-43.144876958904526
2220000000.0,-43.07132657375283
2220100000.0,-42.9796191306977
2220200000.0,-42.89196999237898
2220300000.0,-42.82686732755448
2220400000.0,-42.75309789673581
2220500000.0,-42.659953879814736
2220600000.0,-42.57193867340932
2220700000.0,-42.49695442176253
2220800000.0,-42.42282149338277
2220900000.0,-42.3306680517321
2221000000.0,-42.23305063649
2221100000.0,-42.14772237764044
2221200000.0,-42.07484194660086
2221300000.0,-41.97579292136305
2221400000.0,-41.873805232240784
2221500000.0,-41.78577698621413
2221600000.0,-41.70232265438287
2221700000.0,-41.59687305055471
2221800000.0,-41.49207813805124
2221900000.0,-41.39849939041868
2222000000.0,-41.3026896887444
2222100000.0,-41.19845574626554
2222200000.0,-41.09054034989281
2222300000.0,-40.98370021764176
2222400000.0,-40.88438660996409
2222500000.0,-40.77427726782789
2222600000.0,-40.65534480302279
2222700000.0,-40.5431376081775
2222800000.0,-40.44364341712705
2222900000.0,-40.319896273717575
2223000000.0,-40.19918854165822
2223100000.0,-40.07753776754101
2223200000.0,-39.96864949016182
2223300000.0,-39.84825531795012
2223400000.0,-39.707576666130336
2223500000.0,-39.57903276463574
2223600000.0,-39.45943966330601
2223700000.0,-39.33127154148626
2223800000.0,-39.1827669997251
2223900000.0,-39.04743476990608
2224000000.0,-38.9181341771756
2224100000.0,-38.775379662382
2224200000.0,-38.61919885611981
2224300000.0,-38.46700979302236
2224400000.0,-38.32059230668148
2224500000.0,-38.1709406866762
2224600000.0,-38.00467190139817
2224700000.0,-37.83716340503935
2224800000.0,-37.67895552496624
2224900000.0,-37.51151967558991
2225000000.0,-37.331125094347584
2225100000.0,-37.14777587942808
2225200000.0,-36.97400209603217
2225300000.0,-36.78817820250343
2225400000.0,-36.58978174253959
2225500000.0,-36.38808087886698
2225600000.0,-36.18823924580548
2225700000.0,-35.98625317898591
2225800000.0,-35.77066826729555
2225900000.0,-35.54520370825088
2226000000.0,-35.3242235168586
2226100000.0,-35.09761445546914
2226200000.0,-34.85543962163038
2226300000.0,-34.603487463282534
2226400000.0,-34.35208838305658
2226500000.0,-34.09233822315615
2226600000.0,-33.8198463154978
2226700000.0,-33.53486582289433
2226800000.0,-33.2416572827752
2226900000.0,-32.941970924762444
2227000000.0,-32.622290542243825
2227100000.0,-32.2906821008944
2227200000.0,-31.95066840843802
2227300000.0,-31.595005447961988
2227400000.0,-31.21891832080745
2227500000.0,-30.825773503429502
2227600000.0,-30.412391971183126
2227700000.0,-29.98102215774976
2227800000.0,-29.522273574936516
2227900000.0,-29.03548408574349
2228000000.0,-28.519790885687723
2228100000.0,-27.973596890113956
2228200000.0,-27.385874699903283
2228300000.0,-26.75456051505715
2228400000.0,-26.0751914359466
2228500000.0,-25.33692346341033
2228600000.0,-24.529371012175623
2228700000.0,-23.6381517180314
2228800000.0,-22.64600742186841
2228900000.0,-21.5303335974974
2229000000.0,-20.258836771954364
2229100000.0,-18.783359573321952
2229200000.0,-17.049550139152593
2229300000.0,-14.99067452923858
2229400000.0,-12.61602122045815
2229500000.0,-10.4069242449472
2229600000.0,-9.819156069482652
2229700000.0,-11.373848650523913
2229800000.0,-13.725828884790673
2229900000.0,-15.958621982106196
2230000000.0,-17.878566820747785
2230100000.0,-19.511712755745844
2230200000.0,-20.916842476468016
2230300000.0,-22.144179547688168
2230400000.0,-23.23230003121634
2230500000.0,-24.20507859913265
2230600000.0,-25.08403659540973
2230700000.0,-25.886788391799023
2230800000.0,-26.627291352309168
2230900000.0,-27.310034640245192
2231000000.0,-27.944868828693814
2231100000.0,-28.538850247614786
2231200000.0,-29.099793913024392
2231300000.0,-29.62780682090401
2231400000.0,-30.12295897151107
2231500000.0,-30.593415712609943
2231600000.0,-31.04400066144903
2231700000.0,-31.471840893547416
2231800000.0,-31.87642903628818
2231900000.0,-32.26643566312457
2232000000.0,-32.64616951105254
2232100000.0,-33.00769213738883
2232200000.0,-33.35183851405787
2232300000.0,-33.68246642584904
2232400000.0,-34.008853786965936
2232500000.0,-34.32317437085003
2232600000.0,-34.61747537711408
2232700000.0,-34.910870667284335
2232800000.0,-35.19489223828238
2232900000.0,-35.47439534370306
2233000000.0,-35.73786873030159
2233100000.0,-35.99100530963782
2233200000.0,-36.24700737388784
2233300000.0,-36.49895483183192
2233400000.0,-36.73618202937119
2233500000.0,-36.96406052574899
2233600000.0,-37.19639201086133
2233700000.0,-37.42798396126596
2233800000.0,-37.64444084678112
2233900000.0,-37.84711505690595
2234000000.0,-38.06141572340261
2234100000.0,-38.27247489996978
2234200000.0,-38.46728123234638
2234300000.0,-38.65183847525695
2234400000.0,-38.8414894196882
2234500000.0,-39.03957903326804
2234600000.0,-39.223421975583584
2234700000.0,-39.39533165663136
2234800000.0,-39.57018066306133
2234900000.0,-39.750938802186575
2235000000.0,-39.92149251619013
2235100000.0,-40.0750257905264
2235200000.0,-40.237875152645096
2235300000.0,-40.412699029328536
2235400000.0,-40.56873819377102
2235500000.0,-40.72357842898272
2235600000.0,-40.86462143138845
2235700000.0,-41.02497949878683
2235800000.0,-41.1738622878018
2235900000.0,-41.31104245732612
2236000000.0,-41.45373777424848
2236100000.0,-41.61032692984944
2236200000.0,-41.74804582167526
2236300000.0,-41.880866675576
2236400000.0,-42.00993631494028
2236500000.0,-42.15794798680457
2236600000.0,-42.29540553816293
2236700000.0,-42.4148398122404
2236800000.0,-42.54857326170804
2236900000.0,-42.66856696196957
2237000000.0,-42.813748380465306
2237100000.0,-42.92941255873215
2237200000.0,-43.040465465935405
2237300000.0,-43.15961541058047
2237400000.0,-43.29719092212649
2237500000.0,-43.40337233096534
2237600000.0,-43.51223058464944
2237700000.0,-43.631610154324
2237800000.0,-43.754166635940834
2237900000.0,-43.8673373935508
2238000000.0,-43.96399052690676
2238100000.0,-44.066369008067326
2238200000.0,-44.19321042108069
2238300000.0,-44.29416119695074
2238400000.0,-44.38880614246082
2238500000.0,-44.49893074977589
2238600000.0,-44.61878080217304
2238700000.0,-44.71744509461245
2238800000.0,-44.7943935951314
2238900000.0,-44.898113413013775
2239000000.0,-45.01063056590517
2239100000.0,-45.11746707824683
2239200000.0,-45.20266345333548
2239300000.0,-45.301352207767465
2239400000.0,-45.41201939738546
2239500000.0,-45.503025439636886
