T_data,f_data
7.94,2.229576104236066
8.04,2.2295711794019124
8.32,2.2295589103085915
8.76,2.2295375080756847
9.33,2.2295050696493433
10.0,2.22945935658397
10.75,2.2294011642705063
11.57,2.229328757987777
12.43,2.2292437377381233
13.33,2.2291456292220455
14.28,2.2290332155430446
15.24,2.2289075749245244
16.23,2.228769085925558
17.24,2.2286179373390707
18.27,2.2284549499639703
19.33,2.228279940162529
20.39,2.2280911696849075
21.46,2.2278891041951825
22.55,2.2276818952203654
23.66,2.2275057032694443
24.82,2.227314326586504
26.03,2.226995538209688
27.21,2.226677783041528
28.39,2.2264105075302485
29.63,2.22604591645081
30.94,2.225635139535464
32.19,2.225218940053637
33.45,2.2247726621694475
34.75,2.224285475366327
36.09,2.2237499706149966
