liquid_thickness(um),frequency_shift_liquid(%),solid_thickness(um),frequency_shift_solid(%)
0.0,0.0,0.0,0.0
0.005,-0.0006874614670748791,0.005,-0.0009411038818574191
0.01,-0.0032878174083705858,0.01,-0.0037984030730409124
0.015,-0.005784299977062979,0.015,-0.006548856119004132
0.02,-0.008199459100399764,0.02,-0.009218432030688728
0.025,-0.010469974262306003,0.025,-0.011742608955311873
0.03,-0.01270591129607368,0.03,-0.014235551768049248
0.035,-0.014880124037963682,0.035,-0.016661256186989437
0.04,-0.01699363337117621,0.04,-0.019029031319017786
0.045,-0.01905516455260603,0.045,-0.021345229972957735
0.05,-0.021049516134741264,0.05,-0.023594357361456098
0.055,-0.02298355468706159,0.055,-0.025783426979597568
0.06,-0.02490693383303544,0.06,-0.027962315266749638
0.065,-0.02674494591012877,0.065,-0.03005629518622044
0.07,-0.028546641960636165,0.07,-0.03211459297641772
0.075,-0.030309734562228297,0.075,-0.034135563881154685
0.08,-0.03199631868051611,0.08,-0.036079695521751276
0.085,-0.03367237783030719,0.085,-0.038013022899885396
0.09,-0.035351941158745515,0.09,-0.039948403628353724
0.095,-0.03694344429205909,0.095,-0.041794760758062655
0.1,-0.03855711268034856,0.1,-0.043662675474942514
0.105,-0.04011645471295733,0.105,-0.04547596622694883
0.11,-0.04164492962095423,0.11,-0.04725843988322431
0.115,-0.04314992829029807,0.115,-0.04901787409578029
0.12,-0.04464416712636199,0.12,-0.050767549403663015
0.125,-0.046074198635059904,0.125,-0.05245355226615178
0.13,-0.047491286271594824,0.13,-0.05411721533982172
0.135,-0.04889804172394374,0.135,-0.055769210019795956
0.14,-0.05028198733733058,0.14,-0.05739531417792154
0.145,-0.051641916141331734,0.145,-0.05899379547587014
0.15,-0.0529852455239177,0.15,-0.06057461893735905
0.155,-0.05433245836764522,0.155,-0.06215635605456571
0.16,-0.0556082442336181,0.16,-0.0636643112621127
0.165,-0.05690297249709708,0.165,-0.0651896288692666
0.17,-0.05817512750940779,0.17,-0.06669031207847675
0.175,-0.05941080066033111,0.175,-0.06815737377960929
0.18,-0.06065219087357798,0.18,-0.06961889746995853
0.185,-0.06186989050410707,0.185,-0.0710654197683569
0.19,-0.0630863330043474,0.19,-0.07249589572204673
0.195,-0.06427774719853785,0.195,-0.07391317870674152
0.2,-0.06545806246394115,0.2,-0.07531859804160712
0.205,-0.06663943852474041,0.205,-0.07671533914104245
0.21,-0.06779883265712883,0.21,-0.07809300233859728
0.22,-0.07007568646671958,0.215,-0.07945660896956364
0.23,-0.07229595329025784,0.22,-0.08080443111588842
0.24,-0.07448197588866279,0.225,-0.08212754829116653
0.25,-0.07666680594621278,0.23,-0.0834513823422145
0.26,-0.07877543759791106,0.235,-0.0847695015575578
0.27,-0.08082126820861957,0.24,-0.08607419714540265
0.28,-0.08286245751448762,0.245,-0.08739983660165374
0.29,-0.08488034428227875,0.25,-0.08868385494646969
0.3,-0.08690473800114784,0.26,-0.091220339836251
0.31,-0.08886155903607973,0.27,-0.09369449677567587
0.32,-0.09073759234835554,0.28,-0.09616575552354734
0.37,-0.1000527022026132,0.29,-0.09860990174914708
0.42,-0.10885552289309208,0.3,-0.10106858352458836
0.47,-0.11725497199842616,0.31,-0.1034645284801794
0.52,-0.12530541925850347,0.32,-0.10579493122055972
0.57,-0.13307172877623508,0.37,-0.11710857396162178
0.62,-0.14058025727486934,0.42,-0.12761084837954462
0.67,-0.1478756796168046,0.47,-0.1375470883539509
0.72,-0.1549563999258874,0.52,-0.1470202349186156
0.77,-0.16184912527773543,0.57,-0.15612547554501033
0.82,-0.16855547556855477,0.62,-0.16490304401833855
0.87,-0.1751335985900715,0.67,-0.17341068365308576
0.92,-0.18155856646360213,0.72,-0.18162955584200002
0.97,-0.187852443758163,0.77,-0.18966433251567105
1.0,-0.1915624153375095,0.82,-0.1974510733640189
1.1,-0.20363666458792506,0.87,-0.20508987879247487
1.2,-0.21527295225330922,0.92,-0.21251736590838233
1.3,-0.2265326165746817,0.97,-0.21979869031917287
1.4,-0.23741124375632472,1.0,-0.2240900374018806
1.5,-0.24795931980909902,1.1,-0.23803070163218587
1.6,-0.2582018717606105,1.2,-0.2514520766259021
1.7,-0.2681565001521613,1.3,-0.2644168025544902
1.8,-0.2778350184264644,1.4,-0.2769342028758448
1.9,-0.2872764939101713,1.5,-0.2890567270846689
2.0,-0.2964752123410408,1.6,-0.30081442443544715
2.1,-0.3054190592560069,1.7,-0.31223710399531646
2.2,-0.31419823540626,1.8,-0.3233271732722698
2.3,-0.32277324336114077,1.9,-0.334137781855115
2.4,-0.3311105548600701,2.0,-0.3446569450506143
2.5,-0.339276758097129,2.1,-0.35488503880815037
2.6,-0.34723268802887564,2.2,-0.364925236036584
2.7,-0.3550401796288627,2.3,-0.3746855027025209
2.8,-0.3626986204537386,2.4,-0.3841942545819377
2.9,-0.3702004072450693,2.5,-0.3934935824442931
3.0,-0.37752546063479775,2.6,-0.40255313122913305
3.1,-0.3846777492554243,2.7,-0.4114385121205322
3.2,-0.3917016162895748,2.8,-0.42012848920554013
3.3,-0.39861406003948163,2.9,-0.42864116576084577
3.4,-0.4053449457032565,3.0,-0.436951599013502
3.5,-0.4119624490892315,3.1,-0.44506123705579936
3.6,-0.4184522342990271,3.2,-0.4530212505348574
3.7,-0.42478538015994216,3.3,-0.460834905295493
3.8,-0.4310701318661403,3.4,-0.4684468541468756
3.9,-0.4371968989064223,3.5,-0.4759257059284261
4.0,-0.44321203824566613,3.6,-0.48324784722849623
4.1,-0.4491018249927592,3.7,-0.49039443318741327
4.2,-0.45490416965784375,3.8,-0.4974773622177575
4.3,-0.4605497555220661,3.9,-0.5043698118449069
4.4,-0.4661669565566573,4.0,-0.5111226053797879
