liquid_thickness(um),frequency_shift_liquid(%),solid_thickness(um),frequency_shift_solid(%)
0.0,0.0,0.0,0.0
0.005,0.000686727580201385,0.005,0.000433826049772712
0.01,-6.0412515923147225e-05,0.01,-0.0005628729129236731
0.015,-0.0010722236805982277,0.015,-0.0018229623752752389
0.02,-0.0020153373928133433,0.02,-0.003013167728826982
0.025,-0.00286838375985754,0.025,-0.004113004443018209
0.03,-0.0036964519458337897,0.03,-0.0051879062868298575
0.035,-0.00461781188318966,0.035,-0.0063562355693380646
0.04,-0.005532791435380879,0.04,-0.007518981807852487
0.045,-0.006351648688596168,0.045,-0.008585866531984898
0.05,-0.007279757888811744,0.05,-0.009762943783087064
0.055,-0.008165225087963801,0.055,-0.010898349652144201
0.06,-0.009074049292945308,0.06,-0.012058145072801896
0.065,-0.009967233971053258,0.065,-0.013205270229266208
0.07,-0.010922392560641647,0.07,-0.01441257639120952
0.075,-0.01173804712900628,0.075,-0.015483567354979133
0.08,-0.01274257701288084,0.08,-0.016745427297526483
0.085,-0.013510369984792714,0.085,-0.017770092883551136
0.09,-0.014422717231055149,0.09,-0.018938477621210925
0.095,-0.015378142995381427,0.095,-0.020149550173642616
0.1,-0.016278666807989506,0.1,-0.021305602457510897
0.105,-0.017094644801896042,0.105,-0.022377298551279345
0.11,-0.018018212914538978,0.11,-0.02355750803155754
0.115,-0.018989307819827772,0.115,-0.024786138136856373
0.12,-0.01984556579591734,0.12,-0.02590187498805463
0.125,-0.020668628453412996,0.125,-0.0269825127453327
0.13,-0.021610144775829898,0.13,-0.028176980827776532
0.135,-0.022444890845163545,0.135,-0.029260766447902764
0.14,-0.023361711865221846,0.14,-0.03042349909153641
0.145,-0.024202437519449393,0.145,-0.03150715587032504
0.15,-0.024973196698641065,0.15,-0.03250740679030528
0.155,-0.025850362250301462,0.155,-0.033633605723448756
0.16,-0.0266377955416619,0.16,-0.03465717981691041
0.165,-0.02747541693277622,0.165,-0.035728711399951596
0.17,-0.028260905329280384,0.17,-0.03674264483978229
0.175,-0.029088508162100624,0.175,-0.03780491053226864
0.18,-0.029887439219478118,0.18,-0.038839029942616676
0.185,-0.030691830764562056,0.185,-0.03985990792825245
0.19,-0.031496177393497415,0.19,-0.04089625084766624
0.195,-0.03235053570104229,0.195,-0.04197665950362861
0.2,-0.03304877478773616,0.2,-0.042898189850337776
0.205,-0.033930362446354945,0.205,-0.044003294759731304
0.21,-0.034630526878043355,0.21,-0.044926155826174874
0.215,-0.03541227808324665,0.215,-0.045930543078864794
0.22,-0.0361750442101072,0.22,-0.046913530042669294
0.225,-0.03695357875508343,0.225,-0.0479119082394841
0.23,-0.03772446286957054,0.23,-0.04890237328976088
0.24,-0.0393040815417689,0.24,-0.050919372532753915
0.25,-0.04084020442328695,0.25,-0.052891518867070886
0.26,-0.0423422360819381,0.26,-0.05482870080149027
0.27,-0.04387898418460878,0.27,-0.05679572834713653
0.28,-0.04539183560993143,0.28,-0.05874787606516829
0.29,-0.04692405890577289,0.29,-0.06071961876074061
0.3,-0.048498867714508176,0.3,-0.0627329053696446
0.31,-0.05009749596426305,0.31,-0.06477249706119403
0.33,-0.05350112926312267,0.33,-0.06911035038472679
0.36,-0.05841551532337341,0.36,-0.07538239826236914
0.39,-0.062986326239578,0.39,-0.08123530530651513
0.42000000000000004,-0.06740100571154262,0.42000000000000004,-0.08687494740483581
0.45,-0.07169875482915256,0.45,-0.09235199198827093
0.48,-0.0758061509279484,0.48,-0.09760074759582738
0.51,-0.07973541598531586,0.51,-0.10263839574014
0.54,-0.08362972270503644,0.54,-0.10762105952822898
0.5700000000000001,-0.08743063630743952,0.5700000000000001,-0.11246307047215742
0.6000000000000001,-0.09113758202439204,0.6000000000000001,-0.11721116936243003
0.63,-0.09477540184519295,0.63,-0.12186012955651693
0.66,-0.09834565634102566,0.66,-0.12642511995828443
0.69,-0.10185596984487733,0.69,-0.1309123394221623
0.72,-0.10530832694906067,0.72,-0.1353258667735946
0.75,-0.10871448471549972,0.75,-0.13967844893456594
0.78,-0.11205980517006164,0.78,-0.14395653422074606
0.81,-0.11536300254388898,0.81,-0.1481794717247853
0.8400000000000001,-0.11867029799444984,0.8400000000000001,-0.15239491197837074
0.8700000000000001,-0.12188693216267366,0.8700000000000001,-0.15650692976464375
0.8999999999999999,-0.12506457529301018,0.8999999999999999,-0.16056968882408595
0.9299999999999999,-0.12820526626691198,0.9299999999999999,-0.16458509784545994
0.96,-0.1313081033521124,0.96,-0.16855266623577725
0.99,-0.134378003674418,0.99,-0.17247762018900437
1.02,-0.13741743308000043,1.02,-0.1763630690239104
1.05,-0.1404199552860863,1.05,-0.18020258862432303
1.08,-0.14339616355086848,1.08,-0.1840083647946411
1.11,-0.14634277028594544,1.11,-0.18777630158374192
1.14,-0.14926189877259022,1.14,-0.19150810283091735
1.17,-0.15215085788614635,1.17,-0.19520252561220364
1.2,-0.15501445423505844,1.2,-0.19886496253642694
1.23,-0.15785480938148577,1.23,-0.20249591595388194
1.26,-0.1606689562846042,1.26,-0.2060944672402476
1.29,-0.16346040376257198,1.29,-0.2096628765076991
1.32,-0.1662263052186419,1.32,-0.21320065032177649
1.82,-0.20935643681879723,1.82,-0.26835993364395794
1.9200000000000002,-0.2174040400754751,1.9200000000000002,-0.2786523571748356
2.02,-0.22527806510291848,2.02,-0.28872399463751863
2.12,-0.23299663052405162,2.12,-0.2985973124069785
2.2199999999999998,-0.24055820858102095,2.2199999999999998,-0.30827056471441905
2.32,-0.24797842627097832,2.32,-0.31776229875807305
2.42,-0.2552550358304262,2.42,-0.3270717564821002
2.52,-0.26240123203419286,2.52,-0.33621343028856776
2.6199999999999997,-0.26940217252698906,2.6199999999999997,-0.34517457936334983
2.7199999999999998,-0.27629317929472874,2.7199999999999998,-0.3539910653811984
2.82,-0.28304829269815146,2.82,-0.36263831110698863
2.92,-0.2897062986240706,2.92,-0.37115648726397943
3.02,-0.29627132263525535,3.02,-0.379550572358367
3.1199999999999997,-0.30269248811735094,3.1199999999999997,-0.3877708411162639
3.2199999999999998,-0.3090272150725326,3.2199999999999998,-0.39587549518813603
3.32,-0.3152553808059011,3.32,-0.403844677577303
3.42,-0.32139209708204053,3.42,-0.4116959642815998
3.52,-0.32743355873929847,3.52,-0.41942492140618626
3.6199999999999997,-0.3333787737107685,3.6199999999999997,-0.4270318513597493
3.7199999999999998,-0.3392373092669043,3.7199999999999998,-0.43452701159731877
3.82,-0.3450099551796426,3.82,-0.4419117033792386
3.92,-0.3506950892128269,3.92,-0.44918482538536253
4.0200000000000005,-0.35631524631000167,4.0200000000000005,-0.45637055082797806
4.12,-0.36184096268846444,4.12,-0.4634391829014928
4.22,-0.36727837371730576,4.22,-0.47039788842611063
4.32,-0.3726625213814061,4.32,-0.4772813543366783
4.42,-0.3779461987355015,4.42,-0.48404389920213564
4.5200000000000005,-0.3831727462344614,4.5200000000000005,-0.49072930214586474
