Frequency(GHz),Time(s),Temp(K),Thickness(um)_conformal
2.229738544667738,0.0,8.093072137949786,-0.017480812359772495
2.2297386648407427,1.514298,8.09301031134372,-0.017495310714039203
2.229738381334786,3.022016,8.092701178541807,-0.01745663915427465
2.229738417368733,4.533355,8.092404411400759,-0.01745825388400078
2.2297382081154162,6.040929,8.09252806433457,-0.01743316735890425
2.229738022372324,7.550482,8.092849562240374,-0.01741297958465574
2.2297380921635677,9.061215,8.092849562240374,-0.017421751128287068
2.22973799856989,10.570788,8.09275063976504,-0.017409016655377113
2.2297381701188006,12.089478,8.092466237861577,-0.017427784590592525
2.2297380661372195,13.601944,8.092540429631974,-0.017415444376921614
2.2297378686973564,15.115999,8.092701178541807,-0.017392208738544232
2.2297378859907764,16.632823,8.092763005072698,-0.017394989238131632
2.2297379949123437,18.162261,8.092701178541807,-0.017408071271009542
2.2297380234032493,19.682074,8.092540429631974,-0.017410073505931413
2.229738080068429,21.214509,8.092589890824392,-0.017417680988751117
2.229738144582391,22.742872,8.092626986724671,-0.017426153619016525
2.2297377772973754,24.269648,8.093022676664097,-0.01738387893171474
2.2297380110472615,25.791776,8.093220521859793,-0.017415199099507978
2.2297380910508715,27.33047,8.093393636536211,-0.017426954283073
2.2297380994705174,28.862669,8.093381271200721,-0.017427891070617988
2.229738034532056,30.399514,8.09350492460378,-0.017420943676341335
2.229737941969479,31.947535,8.093554385982827,-0.01740979594620136
2.2297375742618937,33.477964,8.093739866237874,-0.017365405403869157
2.229737480349545,35.01459,8.09375223159225,-0.01735372490972075
2.2297375361897966,36.55605,8.093974808090806,-0.01736292792331006
2.229737555448218,38.096502,8.09401190419023,-0.01736571241581095
2.229737465732847,39.636649,8.093851154455283,-0.017352859428808376
2.229737380238108,41.177072,8.093690404823128,-0.017340537141789715
2.2297370982017664,42.718749,8.094036634930436,-0.01730849565460722
2.2297370790700257,44.270566,8.094296307820958,-0.017308641300654945
2.229737020263927,45.81846,8.094419961672227,-0.017302466038968158
2.229736948907034,47.367139,8.094407596281918,-0.0172933782371324
2.22973655274869,48.91169,8.094481788618474,-0.017244329804432773
2.2297363950605233,50.45963,8.09422211554001,-0.017221968342955005
2.2297358708733803,52.00982,8.094135557904892,-0.017155264577925627
2.229735369604453,53.574932,8.09407373104009,-0.017091690276926867
2.2297344419648772,55.131235,8.094061365669805,-0.016975061355244556
2.229733482357839,56.686521,8.094135557904892,-0.016855292356299047
2.229732566162441,58.245307,8.093912981266154,-0.016738087571925638
2.229731333425895,59.804293,8.093801693020621,-0.016582273285085464
2.229729507748219,61.356556,8.09362857806847,-0.016351511387667272
2.229726997653804,62.915025,8.093566751326877,-0.01603612159046087
2.2297232111268976,64.47902,8.093430732554134,-0.015560265697323649
2.229718774971619,66.054332,8.09348019391759,-0.015005321426323331
2.2297134638834244,67.626973,8.093492559260579,-0.014341180661011295
2.2297077153892673,69.196317,8.09362857806847,-0.01362440639789251
2.2297005842917903,70.761004,8.093640943418256,-0.012734948420039124
2.2296938408775544,72.340634,8.093690404823128,-0.011895460538669517
2.2296860041196025,73.91516,8.093554385982827,-0.010919485211566072
2.2296775163704776,75.486662,8.093566751326877,-0.009865786613638813
2.2296682858769126,77.060459,8.09351728994655,-0.008721359872618843
2.229658422796979,78.646885,8.093616212719029,-0.0075023326322980815
2.229648488815516,80.228409,8.093665674118531,-0.0062764762290072
2.2296371489164866,81.814245,8.09382642373714,-0.0048810396464300495
2.2296254995705844,83.389713,8.093912981266154,-0.00344992341949331
2.229613374710435,84.976159,8.094061365669805,-0.001964266084420745
2.2296011480467284,86.560678,8.094160288651924,-0.00046899010512490755
2.2295878306850274,88.144603,8.094160288651924,0.001156983386797092
2.229574164339234,89.730813,8.09422211554001,0.0028210563275454224
2.229559899922876,91.333721,8.09418501940517,0.0045548107016354965
2.2295448500590767,92.925297,8.094135557904892,0.0063797247118460455
2.2295293619348855,94.52557,8.09422211554001,0.008251925374579933
2.2295136526936234,96.10975,8.094296307820958,0.010146439705664518
2.22949701249004,97.706254,8.094407596281918,0.012148125867785417
2.2294801104677373,99.299772,8.094531250187112,0.014176371976606811
2.2294626949715495,100.901677,8.094593077161868,0.01626198116698493
2.229444321144579,102.501139,8.09469200035425,0.018456943923890082
2.2294258508048896,104.106476,8.094926943090567,0.02065717644067347
2.2294065693418452,105.708857,8.094914577676958,0.02295138599103786
2.2293863172941504,107.316458,8.095161886048096,0.02535345812469993
2.2293662716972977,108.926882,8.095001135580635,0.02772989849252314
2.229345257721334,110.527844,8.09503823183313,0.0302143843531245
2.229323970829628,112.143445,8.095161886048096,0.03272568539481835
2.229301890412246,113.751064,8.095174251471741,0.03532715826018925
2.2292793044162855,115.365828,8.095161886048096,0.03798414544405124
2.2292563172577435,116.982692,8.095347367483368,0.04068256174750973
2.229232755793355,118.600777,8.095433925536426,0.04344574678431297
2.229208027895022,120.232048,8.095656503514483,0.04634119279545601
2.2291832321305813,121.84429,8.095681234418544,0.049243596645273086
2.22915785934665,123.482882,8.095730696223086,0.052211062303667365
2.2291320821693232,125.104576,8.096027467264014,0.055221909524025885
2.2291058260842385,126.726593,8.0960151017961,0.058290553037352484
2.2290787245141868,128.365778,8.096002736329641,0.06145769145496056
2.2290512012826933,129.995267,8.096188218390274,0.06467276734822747
2.229023244125859,131.638459,8.096250045775466,0.0679410038231645
2.228994562332232,133.265856,8.096311873175686,0.071296224568404
2.2289656152830517,134.914207,8.096571548424187,0.07468389688295042
2.228936229060483,136.551743,8.096695203399147,0.0781284992502838
2.22890636840618,138.18924,8.096719934404424,0.0816350012541992
2.2288758898604923,139.832893,8.096744665406677,0.08522065765717778
2.22884536637876,141.463331,8.096991975594356,0.0888172515062503
2.228813614435978,143.127633,8.0970290721408,0.09256990311684443
2.228781763972254,144.778837,8.097115630782284,0.09634438258240843
2.2287497667769793,146.423822,8.097313479204814,0.10014709329317936
2.228717477180374,148.072627,8.09738767240987,0.10399893903429
2.2286842573123105,149.723869,8.097325844738705,0.1079781258580741
2.228651217948308,151.380218,8.097486596712487,0.11194998947167766
2.2286176655142844,153.027825,8.09758552105444,0.11600209183039922
2.228583651932611,154.683466,8.09752369333698,0.12013116561912042
2.2285488674821448,156.358735,8.097771004305518,0.12437274655589442
2.228513909108928,158.025005,8.097758638751896,0.12866166648214114
2.228478743992856,159.686249,8.097733907646049,0.1330013508424457
2.2284439062082053,161.353779,8.097758638751896,0.13732649083931237
2.2284103362289183,163.009591,8.09758552105444,0.14152216159253855
2.2283778385351094,164.683457,8.097486596712487,0.14560856186171237
2.228346784954863,166.363653,8.097400037944169,0.14953760495530236
2.2283168325129723,168.026104,8.09733821027141,0.1533504550554945
2.2282879003009457,169.692184,8.097090899738609,0.15705781626449805
2.2282599353518955,171.36948,8.09696724456255,0.16066176290477352
2.2282325601005177,173.087279,8.09688068597874,0.16421060546960675
2.2282061078430755,174.764178,8.096757030911121,0.167660704156764
