Liquid_10dBm_freqs,Liquid_10dBm_s21,Solid_10dBm_freqs,Solid_10dBm_s21,NoNeon_10dBm_freqs,NoNeon_10dBm_s21,Liquid_minus30_freqs,Liquid_minus30_s21,Solid_minus30_freqs,Solid_minus30_s21,NoNeon_minus30_freqs,NoNeon_minus30_s21
2.2165,-42.06018125460233,2.22,-38.53252610186127,2.22,-39.58346615181529,2.2165,-37.20198453218112,2.22,-38.527858582142656,2.22,-38.95991471839518
2.21652,-42.04539395829765,2.22002,-38.50001138422992,2.22002,-39.56298913617028,2.21652,-37.570711919370375,2.22002,-39.318251869638864,2.22002,-39.90697171540997
2.21654,-42.03153554300221,2.22004,-38.47225246906305,2.22004,-39.54215844226222,2.21654,-36.52235630055564,2.22004,-37.8797216975528,2.22004,-39.2137268410518
2.21656,-42.01495278976363,2.22006,-38.4466392113693,2.22006,-39.51459514870699,2.21656,-36.53424908158157,2.22006,-38.17774666964097,2.22006,-39.38827816454816
2.21658,-41.99894200249677,2.22008,-38.42321167638146,2.22008,-39.49261304081817,2.21658,-36.07260749321317,2.22008,-38.47383367003347,2.22008,-38.655851579486495
2.2166,-41.9827549283785,2.2201,-38.39622335782438,2.2201,-39.46846783672104,2.2166,-37.21453476795403,2.2201,-37.85544086205773,2.2201,-39.36694759436703
2.21662,-41.96471644642568,2.22012,-38.36354030318879,2.22012,-39.44401170972521,2.21662,-36.7037152894618,2.22012,-38.47754988926932,2.22012,-39.05183482483194
2.21664,-41.95177282107763,2.22014,-38.34171105481451,2.22014,-39.415402757403456,2.21664,-37.022862706265215,2.22014,-39.05878367266085,2.22014,-39.84219734961152
2.21666,-41.928702542693024,2.22016,-38.309508832204976,2.22016,-39.397678049905686,2.21666,-36.20425989921956,2.22016,-38.13097434994838,2.22016,-39.57850863731397
2.21668,-41.91817469633952,2.22018,-38.28146506880475,2.22018,-39.36501900705149,2.21668,-36.47566092788377,2.22018,-38.14855793073162,2.22018,-39.30917327878687
2.2167,-41.90087985083915,2.2202,-38.25726074560394,2.2202,-39.346998368790224,2.2167,-36.47518872940731,2.2202,-38.29703875152823,2.2202,-39.85588390715276
