,SolidTime(s),SolidFrequency(GHz),SolidTemperature(K),LiquidTime(s),LiquidFrequency(GHz),LiquidTemperature(K),NoNeonTime(s),NoNeonFrequency(GHz),NoNeonTemperature(K)
0,0.0,2.2219789324645594,23.785541524233267,0.0,2.2188793698020017,24.70891928464101,0.0,2.2216813244925566,24.68937845120139
1,4.749993,2.221978113042989,23.787129051281106,4.914557,2.2188787649894435,24.71140880202111,5.233182,2.221681564826171,24.68937845120139
2,9.295232,2.2219786050183,23.787541828550268,9.460778,2.218878408727946,24.71184034812756,9.786987,2.221681343456191,24.68937845120139
3,13.841504,2.2219781137304024,23.78633527232401,14.006589,2.2188781342115456,24.71057893032591,14.848124,2.2216815961830028,24.6889473630036
4,18.387394,2.221978199398922,23.78516053610663,18.552684,2.218877466209576,24.71018060349114,19.40345,2.2216812340011596,24.690638605541373
5,22.933943,2.221978211584782,23.78595426937646,23.098688,2.2188770957479997,24.708520989038117,23.958504,2.221681363634446,24.687289413377297
6,27.984915,2.2219788550987354,23.78595426937646,27.644512,2.2188770671823197,24.711010459521564,28.512992,2.2216813682637007,24.68937845120139
7,32.531085,2.2219782894526845,23.78633527232401,32.190724,2.2188770809929226,24.711010459521564,33.069133,2.2216807652706283,24.692296817755665
8,37.077091,2.221978355004815,23.787129051281106,36.73665,2.218876113896916,24.711010459521564,37.623442,2.2216810160699465,24.693125972638477
9,41.623233,2.221977842791103,23.785541524233267,41.282088,2.218875703734901,24.711010459521564,42.177966,2.22168075623009,24.69146769539401
10,46.169303,2.221978072310285,23.785541524233267,45.828504,2.2188752970441317,24.709350779982323,46.733771,2.2216809284796444,24.693125972638477
11,50.715059,2.2219781822407474,23.787541828550268,50.374654,2.2188746773679835,24.71140880202111,51.288113,2.221681331986703,24.693523978508548
12,55.261299,2.221978536306819,23.787541828550268,54.920764,2.218873761264939,24.71057893032591,55.84331,2.2216811471734372,24.692296817755665
13,59.806252,2.2219779898404934,23.78595426937646,59.466689,2.218872904471935,24.70891928464101,60.398262,2.2216809516731835,24.69269480804802
