,Solid Thickness (um)
0,10.166544713089651
1,10.025047635684679
2,9.954826440160994
3,10.024604681346219
4,10.381438773646174
5,9.949128175104166
6,6.5826585636590185
7,9.404431926886723
8,9.469884691475615
9,5.021590335807738
10,9.223732225255834
11,6.859468381913191
12,4.366836451688667
13,8.215409581727439
14,5.6628579264721175
15,12.612574392229346
16,13.66666041693345
17,0.11179849682993927
18,14.318423520450736
19,0.017278558242838662
20,5.846804105846889
21,6.959770517698554
22,4.564489386263192
23,7.175719287347555
24,5.657104463097624
25,8.34071275158781
26,5.667169856893761
27,6.3963183053891335
28,8.648788425640143
29,9.4932341376932
30,8.918094577394829
31,0.005993933159324157
32,10.85667540942055
33,10.19963968101997
34,9.781279214324469
35,0.3897486063657899
36,0.11415646824116728
37,0.0776242965814302
38,0.0897895814696493
39,0.06581396304477614
40,0.009987785231323366
41,0.010008873507270566
42,0.009944366034448114
43,0.02119114976639414
44,0.010052288382349487
45,0.01232390434065228
46,0.023541186872171223
47,0.023257864332887297
48,0.9173994980882572
49,0.6398735154018358
