,Solid Thickness (um)
0,0.0017055790822280408
1,0.0012318269768544097
2,0.0012279211023207355
3,0.001213599375682561
4,0.0012370347762375878
5,0.0005928108133685451
6,0.005757079758522146
7,0.0020909501172726155
8,0.0018237425078041162
9,0.012975987173666739
10,0.0017911492859401309
11,0.0019697416537432567
12,0.004151949576592456
13,0.004468860127390259
14,0.0047165507876477985
15,0.004567946868875627
16,0.004260210799808998
17,0.012961239482567907
18,0.024286281056494868
19,0.024127502184989574
20,0.035398173892059216
21,0.03502385891662705
22,0.006032276898739722
23,0.005511035687989143
24,0.004246569371618639
25,0.004443214743850804
26,0.015442262172687822
27,0.004256989051626446
28,0.015463359582005228
29,0.0038825865689144363
30,0.003867806388140025
31,0.0037212179542698673
32,0.0038653429921585414
33,0.003861647879911416
34,0.009589370062512755
35,0.009501401030974466
36,0.00948777095590562
37,0.009316751076855612
38,0.009273369286613842
39,0.0008058501904360635
40,0.0007984843436318588
41,0.0007321879397196907
42,0.000778841674723253
43,0.0007604261297857909
